bad_token,filename
จำนวนผมสทธเลอกตงตามบญชรายชอผมสทธเลอกตงจำนวนคนหารอยยสบ,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
จำนวนผมสทธเลอกตงทมาแสดงตนเฉพาะวนเลอกตงจำนวนคนสรอย,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
ชมพ,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_16__party_list_vote_page_3.md
ชมพรองฝรงสม,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_16__party_list_vote_page_3.md
ชา,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_17__party_list_vote_page_2.md
ซ,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_9__party_list_vote_page_1.md
ซงม,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_5__party_list_vote_page_2.md
ซงเกน,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_7__party_list_vote_page_3.md
ซลงเปา,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_6__party_list_vote_page_3.md
ซลปแบด,district_mueang_lamphun__15_office_ban_paen__polling_unit_5__party_list_vote_page_3.md
ซลเวค,district_ban_thi__02_subdistrict_huai_yap__polling_unit_14__party_list_vote_page_3.md
ซสนนำ,district_mae_tha__06_subdistrict_tha_kat__polling_unit_5__party_list_vote_page_2.md
ซสนหา,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_2__party_list_vote_page_3.md
ซสนเจก,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_2__party_list_vote_page_3.md
ซสบ,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_3__party_list_vote_page_2.md
ซสบหา,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_6__constituency_vote_page_1.md
ซสบเกา,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_7__constituency_vote_page_1.md
ซสบเอด,district_mueang_lamphun__12_subdistrict_umong__polling_unit_16__constituency_vote_page_1.md
ซอย,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_4__constituency_vote_page_1.md
ด,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_2__party_list_vote_page_1.md
ดนช,district_mueang_lamphun__12_subdistrict_umong__polling_unit_15__party_list_vote_page_3.md
ดบ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_10__constituency_vote_page_1.md
ดบเจด,district_ban_thi__01_subdistrict_ban_thi__polling_unit_10__constituency_vote_page_1.md
ดวย,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_6__party_list_vote_page_1.md
ดานหา,district_mae_tha__09_11_phae_rim_nam__polling_unit_6__party_list_vote_page_2.md
ดำรง,district_mae_tha__06_subdistrict_tha_kat__polling_unit_11__party_list_vote_page_3.md
ตม,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_10__constituency_vote_page_1.md
ตามทไดมพระราชกฤษฎกาใหมการเลอกตงสมาชกสภาผแทนราษฎรและคณะกรรมการการเลอกตงไดกำหนดใหวนทเดอนกมภาพนธพศเปนวนเลอกตงนน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
ถาม,district_ban_thi__01_subdistrict_ban_thi__polling_unit_4__constituency_vote_page_1.md
ท,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_7__party_list_vote_page_2.md
ทก,district_mueang_lamphun__12_subdistrict_umong__polling_unit_5__party_list_vote_page_2.md
ทท,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
ทน,district_mae_tha__06_subdistrict_tha_kat__polling_unit_10__party_list_vote_page_3.md
ทบ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
ทรพย,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_3.md
ทว,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
ทอง,district_mueang_lamphun__12_subdistrict_umong__polling_unit_2__constituency_vote_page_1.md
ทองถนแปลงเผา,district_mueang_lamphun__12_subdistrict_umong__polling_unit_2__constituency_vote_page_1.md
ทา,district_ban_thi__01_subdistrict_ban_thi__polling_unit_4__constituency_vote_page_1.md
ทำรอย,district_mueang_lamphun__15_office_ban_paen__polling_unit_2__party_list_vote_page_3.md
ทำสนเชด,district_mueang_lamphun__15_office_ban_paen__polling_unit_2__party_list_vote_page_3.md
ธมราม,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_10__constituency_vote_page_1.md
น,district_ban_thi__01_subdistrict_ban_thi__polling_unit_7__party_list_vote_page_2.md
นก,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_5__party_list_vote_page_2.md
นกลขต,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_2__party_list_vote_page_3.md
นกลงทน,district_mueang_lamphun__12_subdistrict_umong__polling_unit_2__constituency_vote_page_1.md
นกสบ,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_11__constituency_vote_page_1.md
นขยฯ,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_8__party_list_vote_page_2.md
นขลขา,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_8__party_list_vote_page_2.md
นขา,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_8__party_list_vote_page_2.md
นค,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_7__party_list_vote_page_2.md
นทร,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
นน,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
นนง,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_16__party_list_vote_page_2.md
นนส,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
นป,district_ban_thi__02_subdistrict_huai_yap__polling_unit_9__party_list_vote_page_1.md
นปช,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_7__party_list_vote_page_3.md
นปวะ,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_8__party_list_vote_page_3.md
นพ,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_7__party_list_vote_page_3.md
นพว,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
นย,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_19__party_list_vote_page_2.md
นร,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_3__party_list_vote_page_3.md
นรรอยสสบ,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_3__party_list_vote_page_3.md
นรสงห,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_3.md
นว,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_14__party_list_vote_page_2.md
นส,district_ban_thi__01_subdistrict_ban_thi__polling_unit_12__party_list_vote_page_2.md
นสขฯ,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_8__party_list_vote_page_2.md
นสธ,district_ban_thi__02_subdistrict_huai_yap__polling_unit_3__party_list_vote_page_2.md
นอก,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_2__party_list_vote_page_1.md
นายทวสทธ,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_10__constituency_vote_page_1.md
นายนาย,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_3.md
นำ,district_mae_tha__01_subdistrict_tha_sop_sao__polling_unit_1__party_list_vote_page_2.md
นำสบ,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_1__party_list_vote_page_3.md
นำสมเดจ,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_4__party_list_vote_page_3.md
นำสายเดด,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
นำโรงสลบเกา,advance_outside_district_and_overseas__party_list_vote_02_page_3.md
นเรศ,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_3.md
บ,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_9__party_list_vote_page_1.md
บคคล,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_3.md
บดนคณะกรรมการประจำหนวยเลอกตงไดดำเนนการนบคะแนนสมาชกสภาผแทนราษฎรแบบแบงเขตเลอกตงของหนวยเลอกตงทหมทตำบลแขวงเทศบาลปาสกอำเภอเขตเมองลำพนเขตเลอกตงทจงหวดลำพนเสรจสนเปนทเรยบรอยแลวดงนนจงขอรายงานผลการนบคะแนนของหนวยเลอกตงดงกลาวดงน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
บตร,district_ban_thi__02_subdistrict_huai_yap__polling_unit_10__party_list_vote_page_1.md
บตรดจำนวนบตรสรอย,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
บตรเสยจำนวนบตร,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_7__constituency_vote_page_1.md
บาทถวน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_10__party_list_vote_page_3.md
ป,district_mae_tha__05_subdistrict_tha_thung_luang__polling_unit_7__party_list_vote_page_3.md
ปงบฯสรอยยสบเกานคมฯสรอยเจดสบส,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_6__party_list_vote_page_3.md
ปด,district_ban_thi__01_subdistrict_ban_thi__polling_unit_5__party_list_vote_page_2.md
ปท,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
ปนส,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
ปรสเกา,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_5__party_list_vote_page_3.md
ประชากรไทย,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
ประชาชาต,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
ปวงชนไทย,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
ปา,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_16__party_list_vote_page_3.md
ปาดดาเทพ,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_13__party_list_vote_page_2.md
ปานกลาง,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_1__party_list_vote_page_2.md
ปาสงวน,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_4__party_list_vote_page_3.md
ผขอ,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_8__party_list_vote_page_3.md
ผนข,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_2__party_list_vote_page_3.md
ผนจ,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_2__party_list_vote_page_3.md
ผนดจำแนน,district_ban_thi__02_subdistrict_huai_yap__polling_unit_2__party_list_vote_page_3.md
ผนธ,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_10__party_list_vote_page_3.md
ผนบ,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_2__party_list_vote_page_3.md
ผนป,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_2__party_list_vote_page_3.md
ผนย,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_2__party_list_vote_page_3.md
ผนำ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_1__party_list_vote_page_3.md
ผพท,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_8__party_list_vote_page_2.md
ผสบรน,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_11__party_list_vote_page_2.md
ผอง,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_4__party_list_vote_page_2.md
ฝง,district_ban_thi__01_subdistrict_ban_thi__polling_unit_14__party_list_vote_page_3.md
ฝน,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_1__party_list_vote_page_2.md
ฝนผ,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_15__party_list_vote_page_2.md
ฝนย,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_2.md
ฝมอ,district_mueang_lamphun__04_subdistrict_rim_ping__polling_unit_5__party_list_vote_page_3.md
ฝรง,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_16__party_list_vote_page_3.md
ฝสบเอด,district_mueang_lamphun__12_subdistrict_umong__polling_unit_6__party_list_vote_page_1.md
ฝาง,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
ฝาย,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_2__party_list_vote_page_1.md
ฝายใหญ,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_2__party_list_vote_page_1.md
พ,district_mae_tha__05_subdistrict_tha_thung_luang__polling_unit_7__party_list_vote_page_3.md
พทธ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
พน,district_ban_thi__02_subdistrict_huai_yap__polling_unit_5__constituency_vote_page_1.md
พนบาทถวน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_10__party_list_vote_page_3.md
พนย,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_6__party_list_vote_page_3.md
พนหนง,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_9__party_list_vote_page_3.md
พนหา,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_15__party_list_vote_page_1.md
พนหารอย,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_4__constituency_vote_page_1.md
พนเการอยเกาสบเกา,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_1__party_list_vote_page_3.md
พรม,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_1__party_list_vote_page_2.md
พรอมกน,district_mueang_lamphun__15_office_ban_paen__polling_unit_10__party_list_vote_page_2.md
พล,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
พลง,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_3.md
พลศร,district_mueang_lamphun__15_office_ban_paen__polling_unit_7__party_list_vote_page_3.md
พลสสขสส,district_mae_tha__06_subdistrict_tha_kat__polling_unit_9__party_list_vote_page_3.md
พว,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_9__party_list_vote_page_3.md
พษ,district_mae_tha__06_subdistrict_tha_kat__polling_unit_10__party_list_vote_page_2.md
พามนท,district_mueang_lamphun__09_subdistrict_si_bua_ban__polling_unit_3__party_list_vote_page_3.md
ฟ,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_16__party_list_vote_page_1.md
ฟก,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_16__party_list_vote_page_2.md
ฟง,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_9__party_list_vote_page_3.md
ฟท,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
ฟนซง,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_2__party_list_vote_page_1.md
ฟฟ,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_16__party_list_vote_page_2.md
ฟา,district_mae_tha__10_subdistrict_tha_khum_ngoen__polling_unit_4__party_list_vote_page_2.md
ฟาง,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
ภท,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
ภธร,district_ban_thi__02_subdistrict_huai_yap__polling_unit_3__party_list_vote_page_2.md
ภนง,district_mae_tha__06_subdistrict_tha_kat__polling_unit_2__party_list_vote_page_2.md
ภม,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_3__party_list_vote_page_2.md
ภารวสาราษฎร,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_13__party_list_vote_page_2.md
ม,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_9__party_list_vote_page_1.md
มข,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_3.md
มนย,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_3__party_list_vote_page_3.md
มสบ,district_mae_tha__07_subdistrict_municipality_tha_kat__polling_unit_4__party_list_vote_page_2.md
มสบหา,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_12__constituency_vote_page_1.md
มสม,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_1__party_list_vote_page_2.md
มสมทก,district_mueang_lamphun__06_subdistrict_nong_nam__polling_unit_5__party_list_vote_page_3.md
มหาชน,district_mueang_lamphun__12_subdistrict_umong__polling_unit_2__constituency_vote_page_1.md
มาก,district_mae_tha__04_subdistrict_tha_pla_duk__polling_unit_1__party_list_vote_page_2.md
มากกวากงสบ,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_17__party_list_vote_page_3.md
มากกวากงหนง,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_17__party_list_vote_page_3.md
มากยงสบ,district_mae_tha__05_subdistrict_tha_thung_luang__polling_unit_7__party_list_vote_page_3.md
ยกคะแนน,district_mueang_lamphun__15_office_ban_paen__polling_unit_6__party_list_vote_page_2.md
ยงเลกแทน,district_mueang_lamphun__15_office_ban_paen__polling_unit_10__party_list_vote_page_2.md
ยงใหญ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_3.md
ยศ,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_1__party_list_vote_page_2.md
ยสบ,advance_outside_district_and_overseas__constituency_vote_03_page_1.md
ยสบส,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_4__constituency_vote_page_1.md
ยสบสคะแนน,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_14__party_list_vote_page_2.md
ยสบสสบส,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_12__constituency_vote_page_1.md
ยสบหา,district_ban_thi__02_subdistrict_huai_yap__polling_unit_12__constituency_vote_page_1.md
ยสบเกา,district_ban_thi__01_subdistrict_ban_thi__polling_unit_6__constituency_vote_page_1.md
ยสบเกาคะแนน,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_3__constituency_vote_page_1.md
ยสบเจด,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_11__constituency_vote_page_1.md
ยสบเจดคะแนน,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_14__constituency_vote_page_1.md
ยสบเอด,advance_outside_district_and_overseas__constituency_vote_01_page_1.md
ยสบเอดคะแนน,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_15__constituency_vote_page_1.md
ยสบเอดสบแนน,district_mueang_lamphun__15_office_ban_paen__polling_unit_3__constituency_vote_page_1.md
ยสม,district_mueang_lamphun__07_subdistrict_mueang_chi__polling_unit_10__party_list_vote_page_2.md
